Wavelength,RI_Water,RI_Water_etching,RI_B,RI_B_etching,RI_C,RI_C_etching,RI_D,RI_D_etching,RI_E,RI_E_etching,RI_F,RI_F_etching
1.302102102,-7.313805291,-0.247533936,-7.528378252,-2.095441582,-8.004142364,-6.503333715,-9.001987481,-5.07890268,-9.856287097,-1.342317649,-11.10212884,-0.638569879
1.302702703,-7.261074275,-0.248395399,-7.430236138,-1.83615589,-7.852142187,-6.341303063,-8.79511378,-5.524283918,-9.628858285,-1.363292383,-10.87012198,-0.56546249
1.303303303,-7.226595736,-0.262198155,-7.347889472,-1.598230565,-7.712508928,-6.182104598,-8.595975639,-5.996597646,-9.405677612,-1.388530762,-10.63691736,-0.507954404
1.303903904,-7.209711481,-0.289676609,-7.283643792,-1.376798649,-7.588846163,-6.019276999,-8.406429061,-6.491709184,-9.188095926,-1.422614292,-10.40377732,-0.466807491
1.304504505,-7.212359397,-0.327493123,-7.236321474,-1.173382414,-7.479361218,-5.846237204,-8.225646503,-6.994397384,-8.976310966,-1.467292002,-10.17134414,-0.44205895
1.305105105,-7.233293066,-0.375958091,-7.207668481,-0.989053543,-7.387053627,-5.662755999,-8.057059308,-7.493821161,-8.771953519,-1.526861831,-9.9417785,-0.432720562
1.305705706,-7.272948873,-0.438687437,-7.198070802,-0.823479485,-7.311772822,-5.461683865,-7.900731983,-7.975717194,-8.574649041,-1.603745617,-9.714949098,-0.437331845
1.306306306,-7.345861713,-0.53510102,-7.212202741,-0.673322055,-7.249787632,-5.329606195,-7.74855323,-8.613235576,-8.382030296,-1.711847616,-9.503065804,-0.457302467
1.306906907,-7.416793652,-0.608963719,-7.238481988,-0.547627931,-7.20975711,-5.008093603,-7.613425588,-8.829490463,-8.191701129,-1.809657685,-9.257203598,-0.47072933
1.307507508,-7.511599076,-0.704404107,-7.286640826,-0.451028629,-7.189353171,-4.775163118,-7.500556989,-9.175329567,-8.025978868,-1.944555907,-9.046075624,-0.502308634
1.308108108,-7.621907552,-0.803118473,-7.351891368,-0.373519357,-7.188480545,-4.529793918,-7.403222486,-9.436003647,-7.872474416,-2.099282217,-8.8405949,-0.539679095
1.308708709,-7.748171636,-0.899521623,-7.434809519,-0.314885994,-7.205381067,-4.271244003,-7.323511931,-9.591615645,-7.732105459,-2.271610257,-8.644406981,-0.582463667
1.309309309,-7.887650927,-0.995990459,-7.534307476,-0.272286649,-7.241322722,-4.000921906,-7.259764796,-9.630808553,-7.605485556,-2.463650745,-8.455082381,-0.630592228
1.30990991,-8.038499292,-1.091766657,-7.649866771,-0.242967463,-7.294604992,-3.716031115,-7.214158119,-9.558187167,-7.493679474,-2.676452208,-8.275943058,-0.684778631
1.310510511,-8.202605473,-1.184815859,-7.780547809,-0.228798751,-7.366147933,-3.422199901,-7.185405638,-9.399201228,-7.39767715,-2.91352755,-8.107304634,-0.745114918
1.311111111,-8.373895991,-1.277323951,-7.924210447,-0.231986525,-7.454582301,-3.126085926,-7.175091241,-9.183154981,-7.31778136,-3.177878217,-7.94931376,-0.811301975
1.311711712,-8.554016366,-1.365037096,-8.080463331,-0.250954955,-7.559605999,-2.837106306,-7.18300798,-8.933965032,-7.254555725,-3.467943472,-7.803104584,-0.881413879
1.312312312,-8.739029756,-1.442837368,-8.247067109,-0.284318284,-7.679734503,-2.555620894,-7.209548003,-8.66828599,-7.20804798,-3.784780656,-7.670421829,-0.953279363
1.312912913,-8.9267953,-1.511501389,-8.422613669,-0.331892815,-7.814360422,-2.281860475,-7.253786866,-8.395431606,-7.179337215,-4.124014734,-7.551604951,-1.023871838
1.313513514,-9.114802724,-1.572924616,-8.604557869,-0.38864975,-7.963020437,-2.020435797,-7.316327752,-8.122333146,-7.169114858,-4.486132106,-7.4479039,-1.091014684
1.314114114,-9.301894549,-1.626515278,-8.791929325,-0.453210534,-8.12365851,-1.771232643,-7.395347285,-7.853720917,-7.176147498,-4.867702722,-7.358001887,-1.153222649
1.314714715,-9.484660051,-1.679231393,-8.981560108,-0.527009231,-8.293632624,-1.533876175,-7.491320185,-7.596548393,-7.201796721,-5.272222474,-7.285300973,-1.211077295
1.315315315,-9.736272137,-1.771571669,-9.239138694,-0.632142721,-8.524819846,-1.317114,-7.629848624,-7.517364434,-7.255722584,-5.746915141,-7.227441661,-1.28601979
1.315915916,-9.851265507,-1.796714197,-9.383523333,-0.708323992,-8.68247581,-1.105274471,-7.747907637,-7.146912597,-7.314176518,-6.116131726,-7.186976994,-1.30649762
1.316516517,-10.00711635,-1.857445027,-9.565273759,-0.80853002,-8.872022264,-0.929600695,-7.890814505,-6.951661849,-7.394064718,-6.592665171,-7.166551904,-1.354191062
1.317117117,-10.15010356,-1.924460314,-9.739355682,-0.913202816,-9.063779073,-0.774045133,-8.046995821,-6.772739938,-7.491699972,-7.086000006,-7.163514714,-1.398576217
1.317717718,-10.27970636,-1.99581664,-9.904920143,-1.017001167,-9.253846023,-0.639395328,-8.214530496,-6.603177061,-7.604679461,-7.584089976,-7.177869477,-1.439487979
1.318318318,-10.39498494,-2.080026752,-10.05730502,-1.116831959,-9.440659529,-0.525291249,-8.391364762,-6.437785418,-7.733174405,-8.069496192,-7.21063086,-1.475320383
1.318918919,-10.49634337,-2.183021743,-10.19798949,-1.212819829,-9.621907741,-0.427282359,-8.575016648,-6.272988901,-7.875597862,-8.520640003,-7.260837943,-1.505980786
